ACCOUNT_NUM.hash,package,ratings
a82f1ccde9bd1c8a494ba21042be5bf7,Web LITE,0.541666667
6666ee9abea94fe9b425170976310579,z Sales End_Xcite,0.958333333
5e17e5e9e9ed40a9414df088089dc7a9,Student Package 1,0
033bfca5a6ec3efe628326fde56c6e14,Web Starter,0.442708333
9388e2c8ed6300c3c7138defbf5976e6,Broadband Experience Package,0
c0f3f7ec9ce6803dc47a5c34f02f78b4,Web LITE,0.494791667
0ae4252edfe28954eeb5c78058cc4e45,Web PAL,0.770833333
cba1948cc25a31637e66da0876547528,Web Booster,1
e0e16275eab60ed6f36ffc21f09a5844,Web LITE,0
621bc7797ac66ab752b21d821212b013,Web Family Plus,0
4e30072320e0cc5102516ac0f83dac32,Web Family Plus,0.220486111
76d9ebdabc9289f652367e82f2371dc8,Any Beat,0.505208333
1186aaba03e18b3dda89c75d611e8116,Web LITE,0
3bc61b93cea92e9c79c8eb1a07f8c5c5,Web LITE,0
41eb0e2cddc221c0d36d27d1a1b9426c,Web LITE,0.116319444
b698662a793529c2855f4b571b89165b,Web PAL,0.177083333
ef32c49fffe55b47ea6285e266a75694,Web LITE,0.309027778
727e922dedd96f27825622f0591ac619,Web LITE,0.100694444
c3f7e8501c14c77f67f830dff50f6365,Broadband Experience Package,0
e9c6e3f904c96634fd6d65955ad51c0a,Student Package 2,0.427083333
dbee92f5b3f3d6bd915438379b06dd1a,Web LITE,0
949e14e85d36002ffb954d42d3366936,Web Master,0.854166667
c78a4d471b35986569d8b1d3dc12d61f,Web PAL,0.515625
af69a78341703191f3de5bf6cb299465,Broadband Experience Package,0
56b6ed37e0621100f8768b156fa7b14a,Web Family Plus,0
370388c74ac6c26daab046792aec7769,Web PAL,0.520833333
463edb7ee3679ae39fb71adb963d12a6,Web LITE,0.53125
662143b6776fd4b30e7d4b1a78a39768,Web LITE,0.378472222
488e1fcdb687d4745c863bf8df7b458f,Web PAL,0.833333333
a16e265b659ee82dbded359eb1630985,Web LITE,0.109375
ea49013d4875ecf1c1669bc7d709c8e4,Web LITE,0
ce1479b8057f64eb01d40dbbde2c4a8a,Web LITE,0
7069e342b0c8d654186b23a082eff0a0,Web Starter,0.677083333
d765222ea40ea5c392a74c56c7496fbe,Web PAL,0
38b2614973f3729c7c0afcf96f3e6657,Web Family Xtra,0
5d9dca5108d2a8cffb365bf0c9b8d458,Web Family Plus,0.916666667
cbd0ec20425b77fb80a753af4a8d895e,Web LITE,0.076388889
49e35911791c4d8b5de0ce3e031d182d,Student Package 1,0.126736111
5d94a1b8d297860a43e1ddc0293278cf,Any Flix,0.296875
4b9af272beef497a56eb5f960281c3c3,Web Family Plus,0.875
7065a12be55f2d80504af87e2d88211b,Any Joy,0.802083333
a24a64840eefe80e019dbcba52e43c71,Web LITE,0
b9f2d5bd898fdee0e7deae11a6d9f586,Student Package 1,0.401041667
086c36a66f685f1111cc6ff7421f04f8,Web Starter,0.484375
5b99845af0774eedd0b0042255fc0cce,Web LITE,0.210069444
b7248e85b8f1acf643ee05f42d15dd9f,Web PAL,0.84375
ac995bfd837f4a666a36a4684493ec2c,Web LITE,0.395833333
906c300626a8c54959f953b386220d55,Web Family Plus,0
07f51c2fd256cda27d107f7c0a19019c,Any Flix,0.979166667
77783b6b026d45d290558265df7de337,Web Family Plus,0
e7bfef3276f6c0027bb79e98ae7fcdce,Web LITE,0.381944444
977e4ee9367aa91169cbd8def5d603d5,Web Family Plus,0.59375
5f7765db55f94205964f6ba83cc7ea28,Web Starter,0.402777778
f86f6ed976592b4a7f27d11d27fa4091,Broadband Experience Package,0
3a5d18f9869154219008b298d466fe88,Web Starter,0.618055556
e016525e9ecc24678ac1c41b8dbbd67a,Web LITE,0.090277778
