,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,Peo_VAS_Package,Peo_VAS_Month_Subscribed,Peo_VAS_Rental,Peo_VAS_One_Time_Charge,VAS_Count
236,06c9e6d3d8011d85d823eae1fd32199f,cc88c49f580c13600e99dfd9920d05e9,ac995f79a7164b89de084396352b343b,['BB_PeoTVGO'],['2018-07'],[0],[0.0],1
237,06c9f66520f5cd1fa1fdd176da17752b,16ba7704ef69803d3d41ebde44ad1c06,f7f58f60160d44ff1205c52c8676999f,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
238,06cbb9857d0d1a30ae00c07a702593ff,bdf75e0f8d6e8c10e9e8495654df21ec,7471be3948d60bbf3f81bb898082bef2,['E_SLT PeoTV Service'],['2017-07'],[899.0],[0.0],1
239,06cd6c857999ba152ad9f1bcd3297153,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
240,06de0d716a334378659c881e6cea7797,38b2614973f3729c7c0afcf96f3e6657,c66d29463366bae43ed36e287f3dc359,['E_SLT PeoTV Service'],['2018-11'],[899.0],[0.0],1
241,06dfaf6429983e94dce4248014cb609c,cc88c49f580c13600e99dfd9920d05e9,ac995f79a7164b89de084396352b343b,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
242,06f07a3e3bf8f543b3d6f821341391e9,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['E_SLT PeoTV Service'],['2018-08'],[0],[0.0],1
243,0704d71fd9ad59eac6948d0e9170fd0d,44224bc1e2e7101c90bbad70dbcc5a6c,f5d47ec8993b2e30d200ec5f1c3bae1b,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
244,0704da3fbea1f2ed397bc207ffa34277,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['BB_PeoTVGO'],['2017-07'],[0],[0.0],1
245,0709b5407ee3fc65c3948d2968868974,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['BB_PeoTVGO'],['2018-09'],[0],[0.0],1
246,070bd98be0cf1485b4de4391954c3d36,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
247,070c06812428d86f079a72c6a1a919d4,dc89c97abbdbf84f7e6522267fa0650a,1075552a0b2fa88c7f1276aa501d2733,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
248,0710ffb90e9fb9ae70ebd981d502a422,95ac85c80ab64e565eaeb12a71855f06,b2fb31d98d2df1204c6c6b93756fa74a,['BB_PeoTVGO'],['2017-12'],[0],[0.0],1
249,0715d31d0d96d55141656a237f7dfb27,4a53c2f008c7fcb139a7f3b90e2b0f85,e92e460daa0be0f4b80b0e215cfdf579,['E_SLT PeoTV Service'],['2018-08'],[1100.0],[0.0],1
250,071711636dbb5fc52a21522aea9b5988,c71143375d930fc5b584cec62192d1ff,1e349cab50911a97090c6eab866b0863,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
251,0718ce0b1d452bcf54af19c95583841e,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_PeoTVGO Revenue code'],['2020-04'],[249],[0.0],1
252,0718d35682b88f19a86c328464411447,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['E_SLT PeoTV Service'],['2018-08'],[0],[0.0],1
253,0720ca296bbcf06064fb86ec563e848b,787d13b4fa1a0abbaa332d1fc26f3cba,9643c7e123c5dbcf58f586f831f75842,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
254,07253bd586d46530e332d451b4ceb786,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['E_SLT PeoTV Service'],['2018-08'],[0],[0.0],1
255,072e86cf7f026f5ebca848613a972ae1,28beb61a8e870d8635737d2e10b9d613,39bf4961c3bf477a6544c345f1cb991e,['E_SLT PeoTV Service'],['2018-08'],[690.0],[0.0],1
256,07317e9a0ed2d149ce5d0f58e6ac4d2a,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
257,073b2bd79d5e5fbf898360fb8534f2b7,44224bc1e2e7101c90bbad70dbcc5a6c,f5d47ec8993b2e30d200ec5f1c3bae1b,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
258,073ccbc9d9cdf62a8cb01301bac5deeb,2ea6c5e59c02744c036fe8ff6cccfb7c,0e6536070be7f081c6c08162792b0161,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
259,0745ce673be943ec46292294de07b384,23fc6e16b1bbdaeae5cfacfc82e91dbc,d019ada037241a2afa1f9d2a9c3de50d,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
260,07480a788cb5fe28cbbca8a509ec3eb9,3bc61b93cea92e9c79c8eb1a07f8c5c5,daaaa6d179bd70f8ac7fd0d15c5ed78d,['E_SLT PeoTV Service'],['2018-08'],[550.0],[0.0],1
