,ACCOUNT_NUM.hash,Phone_Number.hash,Phone_No_Count,PRODUCT_NAME,Product_Count
44,1af42c395af5fcf3244e6979beddb695,['d21022955abba5ef19bf84645ba88db4'],1,"['E_Video on Demand', 'E_TSTV', 'E_PeoTV Initiation']",3
45,1b3eb31b35a5992f8e320e989d1c01c3,['c7b7cda340c527cb60b8506a4378da11'],1,"['V_Call holding', 'V_Incoming Call Transfer', 'V_Call Forwarding Offline', 'V_Call park', 'V_Call back on busy', 'V_Outgoing Call Memory', 'V_CLI presentation in call waiting', 'V_Incoming Call Memory', 'V_Anonymous call barring', 'V_Call Forwarding by time', 'V_Call Transfer Three way']",11
46,1b90f00af43142138b9b33bb1cbf00dd,['e50847ef96deae5e77baf1c842536376'],1,"['V_Incoming Call Memory', 'V_Call Forwarding Offline', 'V_CLI presentation in call waiting', 'V_Anonymous call barring', 'V_Call Forwarding by time', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Incoming Call Transfer', 'V_Call park', 'V_Outgoing Call Memory', 'V_Call holding', 'V_Call back on busy', 'V_Call Waiting', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding-Immediate']",18
47,1bdb808b0067543eac37a8650abfeb46,['bd73133417d7d4f48df88c081e7f7f5c'],1,"['V_SLT CLI', 'AB_Megaline', 'AB_Megaline Startup', 'V_IDD', 'V_DQ Contact Details']",5
48,1c311f0f3d392b5ce4b72fb26506c661,['bf5a7d9a5bc8b5ca97efea4e2ff906bb'],1,"['V_DQ Contact Details', 'AB_Megaline', 'V_Railway Registration', 'V_IDD', 'V_SLT CLI', 'E_TSTV', 'E_Video on Demand', 'V_Triple VAS Bundle']",8
49,1cca6a8545b413f559cb2150db1e60d4,['ba2cd0a629f9bd5acc9d7fcd89971dad'],1,"['V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Absentee service', 'V_Call Forwarding-No Answer', 'E_TSTV', 'E_Video on Demand']",10
50,1cf3f313f1060c69dfe814a0e8124f18,['31110bf10f07e3d5e23da9680b1dd287'],1,"['V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'E_PeoTV Initiation', 'E_Video on Demand', 'E_TSTV']",11
51,1d800ffe927471f63aa32293865791b7,['eb809250a1ec5e8531cf992e663a6972'],1,"['E_Referral offer Discount', 'AB_Referral offer Discount']",2
52,1e317134b50ea5043ebdc3f75d1cde8d,['fd62e39a7c82e9e9a066aee4307fdf87'],1,"['V_Call Forwarding', 'V_Hotline Service']",2
53,1eb55c9984d78c81ebcb356ffaa13d52,['6d1651e6c555d7ccc89044665042ad45'],1,['AB_Relocation'],1
