,ACCOUNT_NUM.hash,VAS,Month_Subscribed,Rental
180,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
181,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
182,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
183,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
184,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
185,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
186,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
187,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
188,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
189,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
190,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
191,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
192,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
193,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
194,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
195,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
196,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
197,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
198,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-07,
199,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-08,
200,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
201,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
202,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
203,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
204,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
205,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
206,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
207,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
208,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
209,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
210,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
211,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
212,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
213,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
214,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2018-12,
215,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-07,
216,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-08,
217,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-08,
218,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-08,
219,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-08,
220,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-08,
221,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-08,
222,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
223,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
224,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
225,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
226,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
227,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
228,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
229,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
230,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
231,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
232,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
233,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
234,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
235,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
236,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
237,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
238,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
239,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
240,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
241,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
242,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
243,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-10,
244,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2019-11,
245,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2020-01,
246,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2020-08,
247,06623c7ba64331f615ff83c5664b71bb,BB_Extra GB,2020-08,
248,066323e15583647d5102a831aa53aba7,BB_Extra GB,2015-09,
249,066323e15583647d5102a831aa53aba7,BB_Extra GB,2017-06,
250,066323e15583647d5102a831aa53aba7,BB_Extra GB,2018-08,
251,066323e15583647d5102a831aa53aba7,BB_Extra GB,2018-08,
252,066323e15583647d5102a831aa53aba7,BB_Extra GB,2018-08,
253,066323e15583647d5102a831aa53aba7,BB_Extra GB,2019-10,
254,066323e15583647d5102a831aa53aba7,BB_Extra GB,2019-10,
255,066323e15583647d5102a831aa53aba7,BB_Extra GB,2020-07,
256,06aad4d1814008bb82dff2a00c6c15b8,BB_Extra GB,2019-10,
257,06b0e86e8d218a11ddf948ae6201f260,BB_Extra GB,2018-12,
258,06beebfdf841dda9b79dcd90b4ca80c0,BB_Extra GB,2018-08,
259,0706513ba40d6899f606aaadac27a1ed,BB_Extra GB,2019-07,
260,070c11ae598c36e61aea606708d63841,BB_Extra GB,2019-10,
261,071d51ec01c8ed8159ac1313dd632c40,BB_Extra GB,2018-08,
262,073fbc7d75f40dba85fac7023002206f,BB_Extra GB,2018-12,
263,075037287f4c416a9c5e41f8faf759ab,BB_Extra GB,2018-12,
264,0759d0f0ba98657257d82fe0103c220f,BB_Extra GB,2018-12,
265,076afa73c8fdcae792465af354416345,BB_Extra GB,2019-10,
266,07f1e23571c43de0a36d0f90c71c70fb,BB_Extra GB,2019-10,
267,0853aaa76ab25277bea74de78dcfe94b,BB_Extra GB,2020-02,
268,085aa9e5deacaa0855ae7c9a19086684,BB_Extra GB,2018-08,
269,085ecebef1af065588e3558ca21e6d4c,BB_Extra GB,2019-12,
270,0866e1a199b053b6762e99c9f7cacd6b,BB_Extra GB,2020-07,
271,086bd45995b95b46a7a7b9dcfea9d296,BB_Extra GB,2018-12,
272,086c36a66f685f1111cc6ff7421f04f8,BB_Extra GB,2019-10,
273,0884ea3f105f60803f87d52a43fe98e2,BB_Extra GB,2019-10,
274,08d495bf904f1a172a1253c9a3645e60,BB_Extra GB,2018-08,
275,090ae6fc9c638a0607d537f676a14c17,BB_Extra GB,2018-08,
276,095338d3e4949f09bcbb9b548506198f,BB_Extra GB,2018-08,
277,0953dfb3e1c3a49c6af82e38da235311,BB_Extra GB,2018-12,
278,0991f9cda4133e39a30dc2bf37837dd0,BB_Extra GB,2018-08,
279,099f3123ba012ba1d09237b0f6874e02,BB_Extra GB,2018-08,
280,09c3fea2f2505f63be5eb46bebb49a17,BB_Extra GB,2018-08,
281,0a51c034ddd90f3dd18f2180d0027646,BB_Extra GB,2018-12,
282,0ae4252edfe28954eeb5c78058cc4e45,BB_Extra GB,2018-12,
283,0af54aadb6f99ea7dba03d4bba175478,BB_Extra GB,2018-08,
284,0af54aadb6f99ea7dba03d4bba175478,BB_Extra GB,2018-08,
285,0af54aadb6f99ea7dba03d4bba175478,BB_Extra GB,2019-03,
286,0af54aadb6f99ea7dba03d4bba175478,BB_Extra GB,2019-10,
287,0af54aadb6f99ea7dba03d4bba175478,BB_Extra GB,2019-10,
288,0b1342373fb63905ba6d707f95fdd207,BB_Extra GB,2018-08,
289,0b62edaf6dcd0a22c6006bc5d080f12b,BB_Extra GB,2019-12,
290,0b6e8127c84ada80d1871f05a823c723,BB_Extra GB,2018-12,
291,0b73e10fbf074171ed31525372ace3c6,BB_Extra GB,2019-10,
292,0b82a6c0cb83d39c4ada89492df3025d,BB_Extra GB,2020-08,
293,0bb7578df4cca43189acebbe179ca42c,BB_Extra GB,2018-12,
294,0bbe2e5799bbf12ab6c8b62d840590ee,BB_Extra GB,2018-08,
295,0be59dc046f0cbed83ddb8af3ce2816a,BB_Extra GB,2018-08,
296,0c0b7fcdce3512b45183c83bbfee30fd,BB_Extra GB,2018-08,
297,0c0eb84d8f25e215afacda6c60391d99,BB_Extra GB,2019-04,
298,0c101d66650e325caadc4759d5b64042,BB_Extra GB,2019-06,
299,0c3b78f94d54d814d6324f8673678aa7,BB_Extra GB,2018-08,
300,0c43b8f3cee411b60f0d861c313e3245,BB_Extra GB,2018-08,
301,0c4a4871af386fbb10d99dfa3f4a4573,BB_Extra GB,2018-08,
302,0c554a6d1ddf83e5626f3f4684f1ad81,BB_Extra GB,2018-08,
303,0c61b4444535d58f3194444baea16bc0,BB_Extra GB,2019-10,
304,0ca3ab018969fe6e4338b1ebd767eaae,BB_Extra GB,2017-03,
305,0cbda8d79da51a86745baa05c5bf11c7,BB_Extra GB,2018-08,
306,0cd561688ffdbb26b95105c0b3095c9f,BB_Extra GB,2018-08,
307,0d0a0970161d620554e68e5fd6d6b751,BB_Extra GB,2019-10,
