,ACCOUNT_NUM.hash,TARIFF_NAME,BB_Package,TARIFF_ID,BSS Name,Attribute,MEDIUM_INFO
4542,353b8c459d6a4e9553842c85e92e3d1a,z Sales End_Home,z Sales End_Home,25604.0,Home,Access Link Type,COPPER
4543,9af4fa40df83f2014cbb55179d2d3f1e,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4544,9c846698354d9daa2eda7c29553a1c29,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4545,c7ac875d9d22beb42ecc6f641e749567,Any Joy,Any Joy,36743.0,Any Joy,Access Link Type,LTE
4546,b9dc1c1eb57dd1479003de35b21cbec8,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4547,8ff7ba486794ffd87cf25b56d04c6fe7,z Sales End_Home,z Sales End_Home,25604.0,Home,Access Link Type,COPPER
4548,f1b9e20ee41e971d522c432470754867,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4549,ab11afafb1f13570f6265062759fa88c,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4550,9f4c971e7ebfca008caa8c6559f75230,Web Pro,Web Pro,25629.0,Web Pro,Access Link Type,COPPER
4551,863fa06edcc767b59d2afc4d04449ba3,z Sales End_Home,z Sales End_Home,25604.0,Home,Access Link Type,COPPER
4552,6b2ff61c75c1d6e3d395ac781d4c45eb,Any Joy,Any Joy,36743.0,Any Joy,Access Link Type,LTE
4553,0f574e245c20bb39db931a9d9e55b827,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4554,6c4e0622eabb0cd72da7dee9ac9e1996,Web Family Xtra,Web Family Xtra,25628.0,Web Surfer,Access Link Type,COPPER
4555,81f5d5f39589f1c94369f6591203c027,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4556,8e725d0d2061163d8b1e8b1e4ee50af1,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4557,fbc3bb19ac95cf245f78b7ac686e4ddd,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4558,5e25bfb26999836c25caf0541e46bc8c,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4559,f4fbb505ab38dec40e123a0f1badd228,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4560,4a617237c13ef4e6f9d26d3dfbffa25b,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
