,Phone_Number.hash,PRODUCT_NAME,Product_Count,Product_Dict
37,1a8c9f463b803278171c9e0fdeb30ba3,"['V_Call Transfer Three way', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']",8,"{'1a8c9f463b803278171c9e0fdeb30ba3': ['V_Call Transfer Three way', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']}"
38,1bb1291b190af10232a3045cd21e1872,"['V_Call Forwarding', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'E_Video on Demand', 'E_TSTV']",10,"{'1bb1291b190af10232a3045cd21e1872': ['V_Call Forwarding', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'E_Video on Demand', 'E_TSTV']}"
39,1c0de81401d553c1b80369ec80bb2ea3,['V_Basic Phone Installment'],1,{'1c0de81401d553c1b80369ec80bb2ea3': ['V_Basic Phone Installment']}
40,1c32fc112531cca2f2a5b13a28f79815,"['V_SLT Voice Service', 'V_Single VAS Bundle', 'V_SLT CLI', 'V_DQ Contact Details', 'V_IDD', 'V_Absentee service', 'AB_Megaline', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']",14,"{'1c32fc112531cca2f2a5b13a28f79815': ['V_SLT Voice Service', 'V_Single VAS Bundle', 'V_SLT CLI', 'V_DQ Contact Details', 'V_IDD', 'V_Absentee service', 'AB_Megaline', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']}"
41,1d8020bf0de3444e2cff86d0d98a3609,"['V_Call Transfer Three way', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']",8,"{'1d8020bf0de3444e2cff86d0d98a3609': ['V_Call Transfer Three way', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']}"
42,1db48c5967e71845100f999b1635d404,"['V_Hotline Service', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Hotline-Time Delayed', 'V_Hotline-Immediate']",11,"{'1db48c5967e71845100f999b1635d404': ['V_Hotline Service', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Hotline-Time Delayed', 'V_Hotline-Immediate']}"
43,1e0884c213ca5e660abb9370b44cf5b6,"['E_SLT PeoTV Service', 'E_TSTV', 'E_Video on Demand', 'E_PeoTV Initiation']",4,"{'1e0884c213ca5e660abb9370b44cf5b6': ['E_SLT PeoTV Service', 'E_TSTV', 'E_Video on Demand', 'E_PeoTV Initiation']}"
44,1f5b13e62d39286122444190ffc78388,"['E_Referral offer Discount', 'AB_Referral offer Discount']",2,"{'1f5b13e62d39286122444190ffc78388': ['E_Referral offer Discount', 'AB_Referral offer Discount']}"
45,209c576641b4f941fa6be1daa08e2c03,"['V_CLI presentation in call waiting', 'V_Call Transfer Three way', 'V_Call holding', 'V_Anonymous call barring', 'V_Call back on busy', 'V_Incoming Call Memory', 'V_Outgoing Call Memory', 'V_Call Forwarding by time', 'V_Incoming Call Transfer', 'V_Call park', 'V_Call Forwarding Offline']",11,"{'209c576641b4f941fa6be1daa08e2c03': ['V_CLI presentation in call waiting', 'V_Call Transfer Three way', 'V_Call holding', 'V_Anonymous call barring', 'V_Call back on busy', 'V_Incoming Call Memory', 'V_Outgoing Call Memory', 'V_Call Forwarding by time', 'V_Incoming Call Transfer', 'V_Call park', 'V_Call Forwarding Offline']}"
46,2155990c85d9a8f95a32328eb324e978,"['V_Incoming Call Transfer', 'V_Call Forwarding Offline', 'V_Call back on busy', 'V_Anonymous call barring', 'V_Call Forwarding by time', 'V_Outgoing Call Memory', 'V_CLI presentation in call waiting', 'V_Incoming Call Memory', 'V_Call park', 'V_Call holding', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Waiting', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding-Immediate']",18,"{'2155990c85d9a8f95a32328eb324e978': ['V_Incoming Call Transfer', 'V_Call Forwarding Offline', 'V_Call back on busy', 'V_Anonymous call barring', 'V_Call Forwarding by time', 'V_Outgoing Call Memory', 'V_CLI presentation in call waiting', 'V_Incoming Call Memory', 'V_Call park', 'V_Call holding', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Waiting', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding-Immediate']}"
