,ACCOUNT_NUM.hash,Rental,BB_Package,GB_AMOUNT,Month_Subscribed,Hour_Subscribed
204,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB PAL,5,2021-07,17
205,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY PLUS,5,2021-07,17
206,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB STARTER,5,2021-07,20
207,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB STARTER,5,2021-07,23
208,bd0cc5e96b24df6625fc68cbaf71b555,100,WEB STARTER,1,2021-07,14
209,bd0cc5e96b24df6625fc68cbaf71b555,425,WEB FAMILY PLUS,5,2021-07,14
210,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-07,14
211,bd0cc5e96b24df6625fc68cbaf71b555,850,WEB FAMILY PLUS,10,2021-07,16
212,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-02,14
213,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-03,19
214,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-03,18
215,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-05,19
216,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-05,16
217,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-05,16
218,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-06,16
219,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-07,13
220,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-07,13
221,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-07,17
222,287cde10ae103ec451caeb0d47b7575c,425,WEB STARTER,5,2021-07,14
223,4c7a4769273c7a2eb4860a09f6376a70,425,WEB FAMILY XTRA,5,2021-02,16
224,4c7a4769273c7a2eb4860a09f6376a70,425,WEB FAMILY XTRA,5,2021-02,13
225,4c7a4769273c7a2eb4860a09f6376a70,425,WEB PAL,5,2021-02,19
226,4c7a4769273c7a2eb4860a09f6376a70,425,WEB FAMILY XTRA,5,2021-02,16
227,4c7a4769273c7a2eb4860a09f6376a70,425,WEB FAMILY XTRA,5,2021-02,16
228,4c7a4769273c7a2eb4860a09f6376a70,765,WEB FAMILY PLUS,9,2021-03,02
229,4c7a4769273c7a2eb4860a09f6376a70,850,FTTH_WEB FAMILY PLUS,10,2021-03,02
230,4c7a4769273c7a2eb4860a09f6376a70,425,WEB FAMILY PLUS,5,2021-03,02
231,4c7a4769273c7a2eb4860a09f6376a70,595,WEB FAMILY XTRA,7,2021-03,02
232,4c7a4769273c7a2eb4860a09f6376a70,850,FTTH_WEB FAMILY PLUS,10,2021-03,13
233,ad370ac7ada064864f1a1bc1b94b4a12,300,WEB LITE,3,2021-06,19
234,0e1fe0d01f3a2e9619999a1a634ec427,425,FTTH_WEB FAMILY PLUS,5,2021-03,19
235,ad370ac7ada064864f1a1bc1b94b4a12,300,WEB LITE,3,2021-06,17
236,977e4ee9367aa91169cbd8def5d603d5,425,WEB FAMILY PLUS,5,2021-05,19
237,0e1fe0d01f3a2e9619999a1a634ec427,850,WEB STARTER,10,2021-03,13
238,ad370ac7ada064864f1a1bc1b94b4a12,200,WEB LITE,2,2021-07,19
239,977e4ee9367aa91169cbd8def5d603d5,200,WEB FAMILY PLUS,2,2021-05,01
240,0e1fe0d01f3a2e9619999a1a634ec427,425,WEB STARTER,5,2021-03,13
241,ad370ac7ada064864f1a1bc1b94b4a12,300,WEB LITE,3,2021-07,23
242,977e4ee9367aa91169cbd8def5d603d5,200,WEB FAMILY PLUS,2,2021-06,11
243,0e1fe0d01f3a2e9619999a1a634ec427,425,WEB FAMILY PLUS,5,2021-03,19
244,ad370ac7ada064864f1a1bc1b94b4a12,425,WEB LITE,5,2021-07,15
245,977e4ee9367aa91169cbd8def5d603d5,100,WEB FAMILY PLUS,1,2021-07,10
246,ad370ac7ada064864f1a1bc1b94b4a12,425,WEB LITE,5,2021-07,13
247,0e1fe0d01f3a2e9619999a1a634ec427,200,WEB FAMILY PLUS,2,2021-03,16
248,8a4cfb7794e8ccf384a7a1b0c9a964eb,850,WEB FAMILY ACTIVE,10,2021-03,19
249,ad370ac7ada064864f1a1bc1b94b4a12,425,WEB LITE,5,2021-07,16
250,0e1fe0d01f3a2e9619999a1a634ec427,100,WEB PAL,1,2021-03,17
251,8a4cfb7794e8ccf384a7a1b0c9a964eb,850,WEB FAMILY ACTIVE,10,2021-03,16
252,ad370ac7ada064864f1a1bc1b94b4a12,425,WEB LITE,5,2021-07,23
253,0e1fe0d01f3a2e9619999a1a634ec427,425,WEB FAMILY PLUS,5,2021-03,22
254,ad370ac7ada064864f1a1bc1b94b4a12,300,WEB LITE,3,2021-07,01
255,8a4cfb7794e8ccf384a7a1b0c9a964eb,200,WEB FAMILY ACTIVE,2,2021-03,22
256,0e1fe0d01f3a2e9619999a1a634ec427,510,WEB LITE,6,2021-04,02
257,8a4cfb7794e8ccf384a7a1b0c9a964eb,850,WEB FAMILY ACTIVE,10,2021-07,22
258,ad370ac7ada064864f1a1bc1b94b4a12,300,WEB LITE,3,2021-07,13
259,0e1fe0d01f3a2e9619999a1a634ec427,100,WEB PAL,1,2021-04,18
260,ad370ac7ada064864f1a1bc1b94b4a12,300,WEB LITE,3,2021-07,22
261,0e1fe0d01f3a2e9619999a1a634ec427,850,WEB STARTER,10,2021-04,18
262,8a4cfb7794e8ccf384a7a1b0c9a964eb,850,WEB FAMILY ACTIVE,10,2021-07,14
263,0e1fe0d01f3a2e9619999a1a634ec427,510,WEB LITE,6,2021-04,18
264,ad370ac7ada064864f1a1bc1b94b4a12,200,WEB LITE,2,2021-07,22
265,4c8b1ee698ad63a7ba672cb5779a951a,850,WEB PAL,10,2021-02,04
266,0e1fe0d01f3a2e9619999a1a634ec427,100,WEB PAL,1,2021-04,13
267,ad370ac7ada064864f1a1bc1b94b4a12,300,WEB LITE,3,2021-07,11
268,4c8b1ee698ad63a7ba672cb5779a951a,850,WEB PAL,10,2021-03,01
269,0e1fe0d01f3a2e9619999a1a634ec427,1500,WEB FAMILY PLUS,20,2021-04,10
270,ad370ac7ada064864f1a1bc1b94b4a12,300,WEB LITE,3,2021-07,13
271,4c8b1ee698ad63a7ba672cb5779a951a,850,WEB PAL,10,2021-04,13
272,ad370ac7ada064864f1a1bc1b94b4a12,200,WEB LITE,2,2021-07,10
273,0e1fe0d01f3a2e9619999a1a634ec427,850,WEB STARTER,10,2021-04,10
274,4c8b1ee698ad63a7ba672cb5779a951a,425,WEB PAL,5,2021-04,19
275,ad370ac7ada064864f1a1bc1b94b4a12,200,WEB LITE,2,2021-07,14
276,0e1fe0d01f3a2e9619999a1a634ec427,850,WEB STARTER,10,2021-04,13
277,4c8b1ee698ad63a7ba672cb5779a951a,425,WEB PAL,5,2021-04,22
278,ad370ac7ada064864f1a1bc1b94b4a12,300,WEB LITE,3,2021-07,22
279,0e1fe0d01f3a2e9619999a1a634ec427,425,WEB FAMILY PLUS,5,2021-04,01
280,4c8b1ee698ad63a7ba672cb5779a951a,425,WEB PAL,5,2021-04,10
281,0e1fe0d01f3a2e9619999a1a634ec427,200,ANY JOY,2,2021-04,17
282,ad370ac7ada064864f1a1bc1b94b4a12,200,WEB LITE,2,2021-07,19
283,4c8b1ee698ad63a7ba672cb5779a951a,850,WEB PAL,10,2021-05,19
