,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,FREE_VAS_Package,FREE_VAS_Month_Subscribed,FREE_VAS_Rental,FREE_VAS_One_Time_Charge,VAS_Count
38,00802d4fd104229876956f33cc994aa4,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
39,0083e8fb8eb5b9f84880054bbab7c796,af66a61a98c385584e3fccfd8dcc5412,1eca97f3ce8ee40e866677fdccc1d60e,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
40,0084091db00cc12a9eb40c451ee24540,06623c7ba64331f615ff83c5664b71bb,ac995f79a7164b89de084396352b343b,['V_SLT Voice Service'],['2018-07'],[0],[0.0],1
41,008ae15ab1ec4d0aba0546c9cc6242f4,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['V_SLT Voice Service'],['2018-09'],[0],[0.0],1
42,008fdad2952f30fab3205e78c4be8da9,23fc6e16b1bbdaeae5cfacfc82e91dbc,d019ada037241a2afa1f9d2a9c3de50d,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
43,009afe3de689d2418e2ccec84f8f1b0a,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
44,009b5b0269b73892b35a4180d0154308,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
45,009bf291d7bcf8679d2b54617b5df3a8,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
46,009f305bf85a71012c0e343233e611ba,729e0a0a75015a8908d0989386f4454e,dcd2f80daa0b3d9f09eecd7657921048,"['V_DQ Contact Details', 'V_SLT Voice Service', 'V_Call Forwarding-No Answer', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-Immediate', 'V_Call Waiting', 'V_Call Transfer Three way', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Absentee service']","['2019-04', '2019-04', '2020-08', '2020-08', '2020-08', '2020-08', '2020-08', '2020-08', '2020-08', '2020-08']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",10
47,00a253bf73b0dc49509c1dbb341f5ea3,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
48,00a39802691aa70417e9640ea7aadefa,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
