,ACCOUNT_NUM.hash,Megaline_Package,Megaline_Month_Subscribed,Megaline_Rental,Megaline_One_Time_Charge,Package_Type,MEDIUM
163,0c554a6d1ddf83e5626f3f4684f1ad81,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-12']",[],[],"['Other', 'Voice', 'BB']","['MC', 'MC', 'MC']"
164,0c61b4444535d58f3194444baea16bc0,"['SLT Voice Service', 'BB SLT BroadBand Service']","['2018-08', '2018-12']",[1490.0],[],"['Voice', 'BB']","['MC', 'MC']"
165,0c6ff6b1a933f33091b63ce71d01d09e,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
166,0c73476238fd241b08e5f5f52ed65e77,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
167,0c97a651773bcd2226e77169a258eca8,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
168,0ca3ab018969fe6e4338b1ebd767eaae,"['BB SLT BroadBand Service', 'AB Copper Access Bearer', 'SLT Voice Service']","['2017-03', '2018-08', '2018-08']",[4890.0],[],"['BB', 'Other', 'Voice']","['MC', 'MC', 'MC']"
169,0ca46f4e89d566fb321592c90fa5f302,"['SLT Voice Service', 'SLT PeoTV Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2019-05']",[899.0],[],"['Voice', 'PeoTV', 'Other']","['MC', 'MC', 'MC']"
170,0cb470354bf2cf0630f75e0e57517935,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
171,0cbda8d79da51a86745baa05c5bf11c7,"['SLT PeoTV Service', 'SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-08', '2018-12']","[899.0, 740.0]",[],"['PeoTV', 'Voice', 'Other', 'BB']","['MC', 'MC', 'MC', 'MC']"
172,0cd561688ffdbb26b95105c0b3095c9f,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2019-10']",[1490.0],[],"['Other', 'Voice', 'BB']","['MC', 'MC', 'MC']"
173,0d0a0970161d620554e68e5fd6d6b751,"['BB SLT BroadBand Service', 'AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08', '2018-08']",[740.0],[],"['BB', 'Other', 'Voice']","['MC', 'MC', 'MC']"
174,0d13cae5090bed00d6cc45b8ff9bf12e,"['SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-12']",[1490.0],[],"['Voice', 'Other', 'BB']","['MC', 'MC', 'MC']"
175,0d4098a262a8bed6ac4253f42dfc5769,"['SLT PeoTV Service', 'SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-08', '2018-12']","[899.0, 450.0]",[],"['PeoTV', 'Voice', 'Other', 'BB']","['MC', 'MC', 'MC', 'MC']"
176,0d4dd0cd007b6901a68ad4f11ec56c3d,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
177,0d52faf05083bd5a699211d77af1750f,"['SLT Voice Service', 'AB Copper Access Bearer', 'SLT PeoTV Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-08', '2018-12']",[690.0],[],"['Voice', 'Other', 'PeoTV', 'BB']","['MC', 'MC', 'MC', 'MC']"
178,0d59eb86d8e340c1a071e6901e85a49d,"['BB SLT BroadBand Service', 'SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2018-08']",[790.0],[],"['BB', 'Voice', 'Other']","['MC', 'MC', 'MC']"
179,0d6657833c1e7908a34461e9f8f2fdd6,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
180,0d6bcdfbaec5925ec7d313ee9815ef98,"['BB SLT BroadBand Service', 'SLT Voice Service']","['2018-08', '2018-08']",[450.0],[],"['BB', 'Voice']","['MC', 'MC']"
181,0d9cb7bde64fc490154f18daf28d3884,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
182,0dcfea14d95ec6de7752b4bec529ef52,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
183,0e0268e1e384b079cb5bd87b0199e607,"['SLT PeoTV Service', 'AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-08', '2018-12']","[899.0, 740.0]",[],"['PeoTV', 'Other', 'Voice', 'BB']","['MC', 'MC', 'MC', 'MC']"
184,0e1fe0d01f3a2e9619999a1a634ec427,"['AB WireLess Access', 'BB SLT BroadBand Service', 'SLT PeoTV Service', 'SLT Voice Service', 'AB Copper Access Bearer']","['2020-06', '2020-09', '2020-09', '2020-09', '2020-09']","[990.0, 550.0]",[],"['Other', 'BB', 'PeoTV', 'Voice', 'Other']","['MC', 'MC', 'MC', 'MC', 'MC']"
185,0e21af5e3d7606ce824267be469373f1,['SLT Voice Service'],['2018-08'],[],[],['Voice'],['MC']
186,0e296df5b555a94de2d8b009fc3d3d4b,"['BB SLT BroadBand Service', 'AB Copper Access Bearer', 'SLT PeoTV Service', 'SLT Voice Service']","['2018-08', '2018-08', '2018-08', '2018-08']","[740.0, 690.0]",[],"['BB', 'Other', 'PeoTV', 'Voice']","['MC', 'MC', 'MC', 'MC']"
187,0e2c5fa9861df3d00082338f6fccb892,"['BB SLT BroadBand Service', 'AB Copper Access Bearer', 'SLT PeoTV Service', 'SLT Voice Service']","['2018-08', '2018-08', '2018-08', '2018-08']","[499.0, 899.0]",[],"['BB', 'Other', 'PeoTV', 'Voice']","['MC', 'MC', 'MC', 'MC']"
188,0e33abf80db5a53508635d5c87a66f6a,"['BB SLT BroadBand Service', 'SLT PeoTV Service', 'AB Copper Access Bearer']","['2019-03', '2019-03', '2019-03']","[450.0, 899.0]",[],"['BB', 'PeoTV', 'Other']","['MC', 'MC', 'MC']"
189,0e38de5cf58107d67d45bd1711957ce7,"['SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2020-01']",[740.0],[],"['Voice', 'Other', 'BB']","['MC', 'MC', 'MC']"
190,0e3ab81f0f5072933b7fa16d39015bf2,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
191,0e3c077293d94c0b686685657eb9db0d,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
192,0e3e3cabb8b653645ad4268f318a80b8,"['BB SLT BroadBand Service', 'SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2018-08']",[1490.0],[],"['BB', 'Voice', 'Other']","['MC', 'MC', 'MC']"
193,0e5e8ea51d7e09144a3f0de27d046c5a,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
194,0e8af614da4b2fcc762a4496990db9cf,"['SLT Voice Service', 'SLT PeoTV Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-08', '2019-10']","[899.0, 740.0]",[],"['Voice', 'PeoTV', 'Other', 'BB']","['MC', 'MC', 'MC', 'MC']"
195,0eb900938bb700f62335d6a30deb1416,"['SLT Voice Service', 'AB Copper Access Bearer', 'SLT PeoTV Service', 'BB SLT BroadBand Service']","['2018-09', '2018-09', '2018-09', '2019-10']","[550.0, 740.0]",[],"['Voice', 'Other', 'PeoTV', 'BB']","['MC', 'MC', 'MC', 'MC']"
196,0eba849e02b353d6f550df1ac1d75425,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
197,0ebac55a0548b5a655b64dbcb3805cf9,"['SLT PeoTV Service', 'SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2018-08']",[690.0],[],"['PeoTV', 'Voice', 'Other']","['MC', 'MC', 'MC']"
198,0ebfa5f872ff349489aec8defe99bf3d,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
199,0edd90e1dbc0bf1d65248b762bebd8fc,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
200,0ee5f78b81c7712241fd67cecdd45263,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
201,0f11c327971bb4c517196bf2b59fb79e,"['AB Copper Access Bearer', 'SLT PeoTV Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-12']","[690.0, 450.0]",[],"['Other', 'PeoTV', 'BB']","['MC', 'MC', 'MC']"
202,0f19c9a1290067cbc8b863b3edcdd864,['BB SLT BroadBand Service'],['2018-08'],[450.0],[],['BB'],['MC']
203,0f1cf2c221e13a3aa64dac2a80ba7268,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
204,0f2785e7849265774936a66a1c68b02b,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
205,0f423fa34f0ba5129051b8141d18c754,"['BB SLT BroadBand Service', 'SLT Voice Service']","['2018-08', '2018-08']",[1490.0],[],"['BB', 'Voice']","['MC', 'MC']"
206,0f46a3bf356fee36239f081e103da76b,"['AB Copper Access Bearer', 'SLT PeoTV Service', 'SLT Voice Service']","['2018-08', '2018-08', '2018-08']",[899.0],[],"['Other', 'PeoTV', 'Voice']","['MC', 'MC', 'MC']"
207,0f4a5e369a4420219964435ae58f5489,"['BB SLT BroadBand Service', 'SLT Voice Service', 'AB Copper Access Bearer', 'SLT PeoTV Service']","['2018-08', '2018-08', '2018-08', '2019-10']","[740.0, 899.0]",[],"['BB', 'Voice', 'Other', 'PeoTV']","['MC', 'MC', 'MC', 'MC']"
208,0f56a147c5f4f2e3553e31a98affc270,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
209,0f574e245c20bb39db931a9d9e55b827,"['BB SLT BroadBand Service', 'SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2018-08']",[1490.0],[],"['BB', 'Voice', 'Other']","['MC', 'MC', 'MC']"
210,0f5c5d6e6c637794c808654766b5cfe0,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
211,0f6af4e50ca792661ec7b3291802b8a9,"['AB Copper Access Bearer', 'SLT Voice Service', 'SLT PeoTV Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-08', '2019-01']","[899.0, 450.0]",[],"['Other', 'Voice', 'PeoTV', 'BB']","['MC', 'MC', 'MC', 'MC']"
212,0f9d00f4d16206b6fbd1a36efd62a22e,"['SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2019-12']",[450.0],[],"['Voice', 'Other', 'BB']","['MC', 'MC', 'MC']"
213,0fa1d2aeb386d52b8fb4b545f3d28b5d,"['SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2020-04']",[1990.0],[],"['Voice', 'Other', 'BB']","['MC', 'MC', 'MC']"
214,0fa53f810a42d81b9b518c102542b23c,['AB Copper Access Bearer'],['2018-08'],[],[],['Other'],['MC']
215,0fb8c557d22f3fafbf573d925b8d5f96,['AB Copper Access Bearer'],['2018-08'],[],[],['Other'],['MC']
216,0fbe3258dcfa66ff8aeb48c4da1ce89e,"['SLT Voice Service', 'AB Copper Access Bearer', 'SLT PeoTV Service', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-08', '2019-04']","[899.0, 450.0]",[],"['Voice', 'Other', 'PeoTV', 'BB']","['MC', 'MC', 'MC', 'MC']"
217,0fc3549886e9eeccf0d9eb80c89e4c3e,"['SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2019-10']",[390.0],[],"['Voice', 'Other', 'BB']","['MC', 'MC', 'MC']"
