,event_source.hash,CUSTOMER_REF.hash,ACCOUNT_NUM.hash,GENDER,BIRTH_YEAR,AGE
256,611be1edb36bd33f1b52e0375af5db49,d9ade33612f48c9879371334c38127e3,e8e61689501241942130daf44a15824a,M,1963,58
258,29ef0fb405201bb87230af23191c2d69,8bdfc34266f39e1eb1eeb3956a1ad088,54c9ca66692737b061241af954393153,M,1956,65
259,8d20604736e1ca571607026796006b64,4ae0fb05b7136eb4e46e8178993cac98,1eeb87ba2c122965987c0ef93509512c,M,1965,56
260,d7cfdae06b80b67663e60388f0098c63,b450338a2da435a8ef6ad5cb5be80da3,7348718c37a9837837c1a380e2641364,M,1944,77
261,cd86ad3baa222be5360d646039790949,4af310d621a4e0dba1afd856e7a702c5,60e10c21c8886d80e472deb444e3d4b4,M,1956,65
263,d9822de6a5c05f3421cc5c6a4dd466d1,44c29ed66f35c68288d928a648f5e2b7,d3434b62ae1dfe5fc63af728ddd960c8,M,1969,52
264,8213187baf2c81c87f46daf57adb2e31,4fa951906b01e72034374b4afa662aea,beb6777234638148adbb037d3bfea629,F,1969,52
265,b2f6f44886be2632a815514a3cc5375d,3b891800bac4bfbc80f75cc5f20553dc,24e084c6291bdfe81bf338f9e8494fc4,M,1974,47
266,adc4b28394ff56a5057177750ebda206,65dd3da267778a9529936ebe4dbc4491,8d2cef2414b406aa05af7026f03094c6,M,1947,74
268,8fce047892477f4cc99a87bc179054cc,325645518d94c31482bdd4fb7715e0c7,61ad08bec55b984dd1acef4f0986150b,M,1966,55
269,e0bf2e585f84e4f952374181072f9c34,c57560485beedb8ca2f375947b21557f,236759a3dc8af7b6478449395b272a2c,M,1955,66
270,74b916b342aff0d61fd895eb39c2f6cb,e83b058926ba647309d8e707bca02f47,d7370b7de61a2dccc022f0cadb81e845,M,1964,57
271,21b84d3c3b2153ac34e7c3ce35645f56,cfbb69264940805ac6a0ca21d40d2c8d,675212b48e5e52c3e2fa0824022fed75,F,1949,72
272,7a9002f336f6cb3bee818412ea07f9ca,e90b1d2f68aeae7c03e9d92054d97aba,239182a0222aff2b85ea70d8adac8a82,M,1943,78
273,a40315ab90b379b75e65b0ef6e0cfe35,dfe753a2e79a97c615fc6f11f686e565,79febafef7dd52734e0af14c3a46fb16,M,1970,51
275,a11ecc89638fea2638fafeeee3e09e58,32995a535efa8740c9902c0e56ce784f,82e719a1d750d1d127cf505e61be451d,M,1973,48
276,cd09ed44b519085f0319cbc3f70db549,edc1f02d70e1a6b16dbb3a5a3fd257b9,6863389ae6073c303d5b272aafe5799a,M,1982,39
