,201908,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,Usage_Rating_Scaled,Usage_Rating_Categorical
year-month,,,,,,,,,,,,,,
PSTN.hash,,,,,,,,,,,,,,
13546fbe549febaf1a06c251a81a61f4,0.16666666666666666,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.75,1.0,1.0,0.7430555555555555,HIGH
13ec2e031db3e5b096eb04255f1019b2,0.0,0.0,0.125,0.1875,0.1875,0.1875,0.1875,0.375,0.1875,0.125,0.1875,0.375,0.17708333333333334,LOW
1434127732e0eeb6c0908e866686677a,0.3333333333333333,0.375,0.375,0.375,0.375,0.375,0.75,0.75,0.75,0.5625,1.0,0.5625,0.548611111111111,MEDIUM
1442247ba6d019cd40c065ee349934f9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.25,0.25,0.25,0.078125,LOW
1477e27647fdf2b38743001f1bb68f0e,0.16666666666666666,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.11805555555555554,LOW
147a192bc16f1b452c2401d4ba2e0751,0.5,0.375,0.375,0.375,0.5,0.5,0.375,0.5,0.375,0.375,0.375,0.5625,0.4322916666666667,MEDIUM
1488b053185dd190467f7bcc5462ef03,0.0,0.1875,0.1875,0.25,0.25,0.1875,0.25,0.25,0.25,0.25,0.125,0.0,0.18229166666666666,LOW
149b28780639576b9799c53a216e81a3,0.75,0.5625,0.5625,0.5625,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.8072916666666666,HIGH
14aa8855bcafb052f5432936ba225f8d,0.25,0.25,0.5,0.5,0.5,0.1875,0.25,0.25,0.25,0.1875,0.1875,0.1875,0.2916666666666667,LOW
14aea01b3c966ebbac043c50ce14f65d,0.0,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,LOW
14d0a3492777d9025ac87195215580ed,0.3333333333333333,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.125,0.125,0.125,0.17361111111111108,LOW
14f4dd0e01e6e3e2e95898944e325afe,0.16666666666666666,0.125,0.125,0.125,0.125,0.125,0.0625,0.0,0.0625,0.125,0.125,0.125,0.10763888888888888,LOW
1533325475e829db0379481855582bce,0.16666666666666666,0.1875,0.1875,0.375,0.1875,0.1875,0.0625,0.1875,0.375,0.1875,0.1875,0.1875,0.2065972222222222,LOW
154aa58fd560d93f6435caeaf7ba4db5,0.5,0.375,0.5,0.5,0.375,0.1875,0.5,0.75,0.75,0.375,0.375,0.375,0.4635416666666667,MEDIUM
155a2049729884b079ccaa8aca315e09,0.3333333333333333,0.0,0.0625,0.1875,0.1875,0.125,0.0625,0.0625,0.0625,0.0,0.0625,0.0,0.0954861111111111,LOW
156d1ab49e2ba8677649f7f10fcf0bf9,1.0,1.0,0.75,0.375,0.5,0.5625,1.0,0.25,0.5,1.0,1.0,1.0,0.7447916666666666,HIGH
157c470e94181e7fcc3930dc6d478ff6,0.0,0.0,0.0,0.0625,0.125,0.375,0.375,0.5625,0.375,0.375,0.5,0.375,0.2604166666666667,LOW
157d80966d29d5f94629843c64622c1b,0.08333333333333333,0.0625,0.0625,0.0625,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.048611111111111105,LOW
15d5e1896fc1afc13074efcd398edf8e,0.75,0.5,0.25,0.25,0.5,0.1875,0.1875,0.0625,0.5,1.0,0.5,0.75,0.453125,MEDIUM
15d803445034665269663f7d2312b523,0.5,0.375,0.375,0.5625,0.5625,0.75,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5416666666666666,MEDIUM
15e5db57475ab2edc1d373a868494fa4,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,0.9583333333333334,HIGH
163577f7c7729ed76da835bf969b8e94,0.5,0.375,0.375,0.125,0.1875,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.4427083333333333,MEDIUM
16534e63efd16d54110269c5135c502e,0.75,0.5625,0.5625,0.25,0.375,0.375,0.5625,0.5625,0.75,0.5625,0.25,0.375,0.4947916666666667,MEDIUM
