,ACCOUNT_NUM.hash,Voice_Package,Voice_Month_Subscribed,Voice_Rental,Voice_One_Time_Charge,is_Megaline_Package,is_FTTH_Package,is_VAS,FREE_or_PAID,is_Subscription,Package_Count
320,0281aeb54fac9448ff12c55e8f651b42,,,,,,,YES,PAID,,1
321,02824984451422046ae54360ff2ee26b,,,,,,,YES,PAID,,1
322,0282808997841d321edec573521d38cf,,,,,,,YES,PAID,,1
323,028347cfd7348452c752c53442278cd8,,,,,,,YES,PAID,,1
324,028375c3d54432b7b86b8289546752eb,,,,,,,YES,PAID,,1
325,028533a1bcd1356328333c4410ac3868,,,,,,,YES,PAID,,1
326,028a71d52da3d0b8b21a82d5a5157ea2,,,,,,,YES,PAID,,1
327,028a7d3ef8379ebc226f10fb237c3da4,,,,,,,YES,PAID,,1
328,028d71a7bc67bbe66349092fe350cdd1,,,,,,,YES,PAID,,1
329,029478acb0e22f308bb912725ef33d14,,,,,,,YES,PAID,,1
330,0295d2d45e778572e6c95026fa60c9b8,,,,,,,YES,PAID,,1
331,0295e08bcaa8fe016ae3c08bb4fa9576,,,,,,,YES,PAID,,1
332,02988201aaa9e59a9bb82087bdae9ead,,,,,,,,PAID,,1
333,029bddd97c22135f691ea5c3b0113094,,,,,,,YES,PAID,,1
334,029d4819d239386ad414dde86561b9c6,,,,,,,YES,PAID,,1
335,029d58bc36735b894c0ec38fcb0d703b,,,,,,,YES,PAID,,1
336,029ebb1dac09da7d2e8686c8618c7746,,,,,,,YES,PAID,,1
337,02a1985108092444c48027b91a16697e,,,,,,,YES,PAID,,1
338,02a23fe6518289e7514ef3aed6730a09,,,,,,,YES,PAID,,1
339,02a48f95067514f7762f0f20e781d07b,,,,,,,,PAID,,1
340,02a7451a5fc9b4fdc8b3b2b32046f45d,,,,,,,YES,PAID,,1
341,02a86dd032fd42b394afb9afbfbcd067,,,,,,,YES,PAID,,1
342,02aa66154b993687dbe83fb396649d5a,,,,,,,YES,PAID,,1
343,02ab54cc0055f03705dc0cf1307d86b5,,,,,,,YES,PAID,,1
344,02acb6fa2754975891d46408448f0d96,,,,,,,YES,PAID,,1
